통계표코드,통계명,통계항목코드1,통계항목명1,통계항목코드2,통계항목명2,통계항목코드3,통계항목명3,통계항목코드4,통계항목명4,단위,WGT,시점,값
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080930,5.22
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20081001,5.22
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20081002,5.22
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20081006,5.23
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20081007,5.06
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20081008,5.12
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20081009,4.98
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20081010,4.98
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20081013,4.98
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20081014,4.98
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20081015,4.99
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20081016,4.99
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20081017,4.99
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20081020,4.97
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20081021,4.89
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20081022,4.89
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20081023,4.98
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20081024,4.98
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20081027,4.28
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20081028,4.24
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20081029,4.24
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20081030,4.21
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20081031,4.14
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20081103,4.1
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20081104,4.02
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20081105,4.04
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20081106,4.22
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20081107,3.97
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20081110,3.97
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20081111,3.98
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20081112,3.98
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20081113,3.98
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20081114,3.98
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20081117,3.93
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20081118,3.95
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20081119,3.95
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20081120,3.99
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20081121,3.98
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20081124,3.99
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20081125,3.98
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20081126,3.98
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20081127,3.98
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20081128,3.99
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20081201,3.97
